Grupo de anuncios;Audiencia: Edad;Audiencia: País;Audiencia: Tipo de dispositivo;Audiencia: Género;Campaña: Tipo de canal publicitario;Campaña: Nombre de campaña;? Conversiones: Valor total de conversiones;Conversiones: Categoría de acción de conversión;Conversiones: Nombre de acción de conversión;? Conversiones: Valor de conversiones;? Coste: Importe gastado;Dimensión: Fecha;Dimensión: Fuente;? Rendimiento: Total de conversiones;? Rendimiento: Clics;? Rendimiento: Conversiones;? Rendimiento: Impresiones;? Vídeo: Visualizaciones;CPC Coste por clic;CPV Coste por visualización
Clientes Frecuentes;45-54;México;Tablet;Femenino;Social;Black Friday;1454.93;Registro;Suscripción Newsletter;859.34;619.79;2021-04-28;Google;106;26228;42;232081;8185;0.0236;0.0757
Clientes Frecuentes;45-54;México;Tablet;Femenino;Social;Black Friday;1652.76;Formulario;Descarga App;1202.89;436.74;2021-01-07;Instagram;72;36931;109;293229;7713;0.0118;0.0566
Leads Potenciales;35-44;Argentina;Móvil;Masculino;Video;Black Friday;1448.2;Descarga;Compra Online;724.94;329.48;2021-04-07;Instagram;125;23525;119;366377;15200;0.014;0.0217
Clientes Frecuentes;45-54;Colombia;Ordenador;Femenino;Búsqueda;Nuevos Clientes;2170.24;Compra;Descarga App;1127.88;547.39;2021-10-19;Facebook;91;28725;109;378922;10051;0.0191;0.0545
Leads Potenciales;45-54;México;Ordenador;Otro;Búsqueda;Nuevos Clientes;2046.54;Formulario;Descarga App;1288.11;404.14;2021-02-20;Google;122;29458;101;249455;8791;0.0137;0.046
Campaña de Remarketing;18-24;Colombia;Móvil;Femenino;Display;Nuevos Clientes;1917.94;Descarga;Compra Online;1178.91;450.12;2021-05-09;YouTube;137;27804;49;246950;15035;0.0162;0.0299
Clientes Frecuentes;35-44;España;Ordenador;Masculino;Video;Reactivación;2073.22;Registro;Formulario Contacto;1281.77;593.29;2021-01-05;Google;153;21736;95;379083;11334;0.0273;0.0523
Campaña de Remarketing;45-54;Argentina;Móvil;Otro;Búsqueda;Nuevos Clientes;1988.47;Compra;Suscripción Newsletter;1266.88;529.8;2021-05-18;Google;132;20195;52;220143;10669;0.0262;0.0497
Clientes Frecuentes;25-34;México;Tablet;Femenino;Video;Nuevos Clientes;2596.77;Descarga;Descarga App;1258.32;361.25;2021-06-15;YouTube;70;32661;79;204108;10524;0.0111;0.0343
Leads Potenciales;25-34;Argentina;Tablet;Masculino;Social;Reactivación;1479.32;Registro;Formulario Contacto;779.63;406.14;2021-06-06;Facebook;123;28560;96;309598;6759;0.0142;0.0601
Segmento Interesados;18-24;México;Móvil;Masculino;Display;Reactivación;2218.46;Registro;Formulario Contacto;944.87;378.97;2021-10-07;Instagram;93;21884;48;140509;10042;0.0173;0.0377
Clientes Frecuentes;25-34;Argentina;Tablet;Otro;Display;Promo Verano;2032.23;Descarga;Compra Online;1269.98;440.39;2021-02-06;Facebook;75;23639;123;161551;15358;0.0186;0.0287
Segmento Interesados;35-44;España;Móvil;Masculino;Video;Reactivación;2285.16;Descarga;Compra Online;920.26;574.58;2021-07-18;YouTube;101;31287;102;159391;10955;0.0184;0.0524
Campaña de Remarketing;25-34;México;Tablet;Masculino;Video;Nuevos Clientes;2338.16;Descarga;Descarga App;1139.34;512.22;2021-05-17;Facebook;133;33287;78;362919;9848;0.0154;0.052
Clientes Frecuentes;35-44;México;Ordenador;Otro;Display;Nuevos Clientes;1682.16;Registro;Descarga App;1279.07;562.23;2021-10-12;YouTube;94;38230;93;371416;10054;0.0147;0.0559
Leads Potenciales;35-44;Argentina;Ordenador;Otro;Video;Reactivación;1685.99;Registro;Suscripción Newsletter;650.04;417.8;2021-05-27;YouTube;117;25992;86;179213;8110;0.0161;0.0515
Clientes Frecuentes;18-24;Argentina;Tablet;Masculino;Display;Promo Verano;2464.04;Descarga;Descarga App;1111.82;471.36;2021-10-02;YouTube;140;34989;61;344907;9519;0.0135;0.0495
Leads Potenciales;18-24;España;Ordenador;Otro;Video;Promo Verano;2199.02;Descarga;Suscripción Newsletter;1000.65;338.49;2021-12-03;Google;123;32642;93;308535;13978;0.0104;0.0242
Segmento Interesados;35-44;Argentina;Ordenador;Otro;Búsqueda;Promo Verano;2178.19;Registro;Descarga App;1220.73;425.33;2021-07-07;Google;78;26267;64;250669;7798;0.0162;0.0545
Leads Potenciales;45-54;México;Ordenador;Masculino;Búsqueda;Reactivación;2402.52;Registro;Suscripción Newsletter;1280.6;490.87;2021-11-09;Facebook;150;30085;98;301503;11092;0.0163;0.0443
Leads Potenciales;18-24;Colombia;Tablet;Femenino;Búsqueda;Reactivación;1778.82;Registro;Formulario Contacto;1133.89;371.5;2021-03-21;Facebook;153;20930;54;229996;15483;0.0177;0.024
Campaña de Remarketing;45-54;Colombia;Móvil;Femenino;Social;Nuevos Clientes;1859.46;Descarga;Compra Online;1175.07;613.93;2021-06-06;Facebook;111;21383;53;212963;7018;0.0287;0.0875
Leads Potenciales;45-54;Colombia;Móvil;Otro;Video;Promo Verano;2343.59;Descarga;Compra Online;1173.99;568.67;2021-07-17;Google;103;30319;112;150355;11146;0.0188;0.051
Clientes Frecuentes;25-34;Colombia;Ordenador;Masculino;Búsqueda;Reactivación;1862.13;Registro;Formulario Contacto;789.25;597.54;2021-03-06;Instagram;94;34252;90;351448;6929;0.0174;0.0862
Clientes Frecuentes;18-24;Argentina;Tablet;Masculino;Display;Nuevos Clientes;2051.84;Formulario;Compra Online;1103.27;411.6;2021-06-14;Facebook;79;22950;111;321956;9178;0.0179;0.0448
Leads Potenciales;45-54;Argentina;Móvil;Otro;Video;Black Friday;1643.43;Descarga;Compra Online;936.67;575.35;2021-01-12;Google;75;31310;60;133053;12330;0.0184;0.0467
Campaña de Remarketing;25-34;España;Móvil;Otro;Social;Reactivación;2205.71;Compra;Formulario Contacto;1131.51;357.04;2021-12-18;Instagram;114;38334;87;316334;12222;0.0093;0.0292
Campaña de Remarketing;25-34;España;Ordenador;Otro;Display;Black Friday;2369.26;Formulario;Compra Online;783.81;348.84;2021-04-08;YouTube;102;26611;62;140217;15579;0.0131;0.0224
Campaña de Remarketing;18-24;España;Tablet;Femenino;Social;Black Friday;2335.98;Registro;Formulario Contacto;1247.3;507.46;2021-01-15;YouTube;111;26494;80;162303;12912;0.0192;0.0393
Clientes Frecuentes;45-54;Colombia;Ordenador;Masculino;Video;Reactivación;2078.49;Compra;Suscripción Newsletter;798.25;454.52;2021-09-24;Google;120;20999;99;225329;14801;0.0216;0.0307
Leads Potenciales;25-34;México;Móvil;Femenino;Social;Black Friday;2142.13;Formulario;Formulario Contacto;824.91;567.68;2021-06-21;Facebook;76;25729;85;255225;12719;0.0221;0.0446
Leads Potenciales;35-44;Argentina;Móvil;Masculino;Video;Promo Verano;2445.04;Formulario;Descarga App;1021.78;391.59;2021-10-08;Facebook;129;35301;108;190286;7515;0.0111;0.0521
Segmento Interesados;25-34;México;Tablet;Otro;Social;Reactivación;1823.62;Compra;Suscripción Newsletter;894.16;425.8;2021-06-17;YouTube;86;29049;67;294750;8537;0.0147;0.0499
Clientes Frecuentes;18-24;Argentina;Móvil;Masculino;Social;Black Friday;1839.69;Registro;Suscripción Newsletter;714.86;443.71;2021-03-02;Instagram;66;36723;108;314478;8625;0.0121;0.0514
Campaña de Remarketing;35-44;Argentina;Tablet;Femenino;Video;Black Friday;1864.53;Compra;Formulario Contacto;738.41;447.98;2021-06-01;Google;155;32900;112;221632;8343;0.0136;0.0537
Campaña de Remarketing;25-34;España;Ordenador;Femenino;Búsqueda;Promo Verano;1313.2;Compra;Formulario Contacto;1054.96;521.84;2021-02-07;Instagram;92;22442;65;262683;10300;0.0233;0.0507
Segmento Interesados;45-54;Colombia;Ordenador;Otro;Display;Reactivación;1963.73;Registro;Compra Online;1256.35;602.49;2021-12-19;Instagram;79;20823;103;348758;13066;0.0289;0.0461
Segmento Interesados;35-44;Colombia;Móvil;Otro;Video;Reactivación;1464.38;Registro;Descarga App;1184.34;473.58;2021-04-17;Facebook;71;25457;101;247371;7372;0.0186;0.0642
Segmento Interesados;18-24;Colombia;Ordenador;Otro;Video;Black Friday;1483.95;Formulario;Suscripción Newsletter;995.73;420.7;2021-08-20;Facebook;140;27477;65;190177;14683;0.0153;0.0287
Leads Potenciales;18-24;México;Móvil;Masculino;Video;Reactivación;1619.76;Compra;Formulario Contacto;1248.64;601.62;2021-04-10;Google;93;23035;104;239866;10471;0.0261;0.0575
Leads Potenciales;45-54;Colombia;Móvil;Femenino;Video;Reactivación;1565.98;Registro;Descarga App;703.96;425.54;2021-07-22;Google;65;27421;104;217171;13690;0.0155;0.0311
Clientes Frecuentes;18-24;España;Ordenador;Femenino;Búsqueda;Promo Verano;1552.95;Descarga;Compra Online;1020.82;614.48;2021-11-02;Facebook;133;36155;40;385239;7571;0.017;0.0812
Leads Potenciales;45-54;México;Tablet;Otro;Social;Promo Verano;2382.47;Formulario;Suscripción Newsletter;760.79;638.7;2021-04-11;Instagram;116;23681;89;162959;7491;0.027;0.0853
Campaña de Remarketing;18-24;Colombia;Móvil;Otro;Display;Black Friday;2139.76;Registro;Formulario Contacto;795.68;383.17;2021-01-22;Instagram;110;36299;118;218085;12183;0.0106;0.0315
Clientes Frecuentes;25-34;Argentina;Móvil;Femenino;Display;Nuevos Clientes;1991.83;Registro;Suscripción Newsletter;1117.26;461.24;2021-05-10;Instagram;105;21494;106;204207;7097;0.0215;0.065
Segmento Interesados;18-24;España;Móvil;Femenino;Búsqueda;Black Friday;2381.2;Formulario;Suscripción Newsletter;1267.91;389.21;2021-08-13;Instagram;144;25408;65;273939;12749;0.0153;0.0305
Clientes Frecuentes;35-44;Colombia;Móvil;Otro;Búsqueda;Reactivación;1334.81;Registro;Compra Online;737.6;369.17;2021-11-15;Instagram;132;19691;111;209331;12495;0.0187;0.0295
Leads Potenciales;18-24;España;Ordenador;Femenino;Búsqueda;Black Friday;2263.34;Compra;Suscripción Newsletter;650.05;386.23;2021-11-06;YouTube;92;33758;40;309803;15273;0.0114;0.0253
Campaña de Remarketing;45-54;México;Tablet;Masculino;Display;Promo Verano;1975.24;Formulario;Compra Online;972.91;486.02;2021-03-14;Facebook;84;32849;50;341316;9898;0.0148;0.0491
Campaña de Remarketing;25-34;Argentina;Ordenador;Otro;Social;Promo Verano;2508.07;Compra;Formulario Contacto;780.16;439.82;2021-10-06;Google;65;33519;104;354437;11032;0.0131;0.0399
Campaña de Remarketing;25-34;España;Tablet;Femenino;Social;Promo Verano;2476.48;Compra;Descarga App;743.06;359.61;2021-10-18;YouTube;102;35971;121;184051;10081;0.01;0.0357
Campaña de Remarketing;18-24;España;Móvil;Femenino;Búsqueda;Reactivación;2074.11;Formulario;Descarga App;1106.71;572.71;2021-10-01;Instagram;109;33229;101;259667;14570;0.0172;0.0393
Campaña de Remarketing;18-24;España;Tablet;Femenino;Búsqueda;Promo Verano;1796.57;Descarga;Suscripción Newsletter;1114.58;336.46;2021-11-13;YouTube;119;33661;96;152213;6798;0.01;0.0495
Clientes Frecuentes;18-24;Colombia;Móvil;Otro;Social;Nuevos Clientes;2475.29;Descarga;Descarga App;962.79;514.2;2021-10-22;Google;118;31572;120;246782;7337;0.0163;0.0701
Leads Potenciales;45-54;Argentina;Tablet;Femenino;Video;Black Friday;2363.08;Descarga;Suscripción Newsletter;1050.44;443.09;2021-03-13;Instagram;95;33416;58;310533;12260;0.0133;0.0361
Clientes Frecuentes;25-34;Colombia;Ordenador;Masculino;Display;Promo Verano;2593.31;Descarga;Formulario Contacto;933.14;614.45;2021-01-27;Instagram;69;35378;51;212008;8387;0.0174;0.0733
Clientes Frecuentes;35-44;México;Tablet;Otro;Video;Black Friday;1967.43;Compra;Compra Online;829.63;331.28;2021-02-23;Facebook;88;32315;44;310308;8104;0.0103;0.0409
Leads Potenciales;45-54;México;Ordenador;Femenino;Display;Reactivación;1600.77;Formulario;Compra Online;1262.37;579.16;2021-11-19;Facebook;120;36042;112;148738;6853;0.0161;0.0845
Leads Potenciales;35-44;España;Móvil;Masculino;Video;Reactivación;1926.7;Descarga;Compra Online;1127.97;349.04;2021-11-03;Google;115;25892;105;386432;14067;0.0135;0.0248
Leads Potenciales;18-24;Colombia;Tablet;Femenino;Video;Reactivación;1974.95;Formulario;Compra Online;936;368.59;2021-02-27;YouTube;94;25541;48;145106;13177;0.0144;0.028
Campaña de Remarketing;45-54;México;Ordenador;Masculino;Social;Reactivación;1329.77;Registro;Formulario Contacto;836.59;628.47;2021-06-08;Google;108;30260;44;334186;8460;0.0208;0.0743
Leads Potenciales;25-34;Argentina;Móvil;Masculino;Búsqueda;Black Friday;1576;Formulario;Descarga App;977.08;607.82;2021-09-13;Google;124;28284;97;175135;7542;0.0215;0.0806
Campaña de Remarketing;35-44;España;Tablet;Masculino;Social;Promo Verano;2395.66;Compra;Compra Online;881.36;506.87;2021-02-19;YouTube;149;26019;108;243623;11941;0.0195;0.0424
Campaña de Remarketing;45-54;Colombia;Ordenador;Masculino;Video;Promo Verano;2543.27;Formulario;Suscripción Newsletter;1113.15;548;2021-01-13;Google;90;29652;108;340305;8899;0.0185;0.0616
Segmento Interesados;18-24;Argentina;Móvil;Otro;Social;Nuevos Clientes;2047.35;Descarga;Descarga App;749.6;603.09;2021-03-27;Facebook;86;19908;90;321656;10814;0.0303;0.0558
Campaña de Remarketing;35-44;Colombia;Ordenador;Otro;Display;Black Friday;1465.01;Registro;Suscripción Newsletter;973.13;628.86;2021-02-10;Facebook;81;38872;86;342643;11964;0.0162;0.0526
Leads Potenciales;25-34;España;Ordenador;Masculino;Social;Promo Verano;2028.27;Descarga;Descarga App;1197.95;539.18;2021-11-28;Google;134;28202;106;333006;12862;0.0191;0.0419
Segmento Interesados;35-44;México;Móvil;Otro;Video;Nuevos Clientes;2490.45;Formulario;Compra Online;1230.15;378.18;2021-03-18;Instagram;148;33742;116;140173;11130;0.0112;0.034
Segmento Interesados;35-44;México;Móvil;Otro;Video;Reactivación;2042;Formulario;Formulario Contacto;1299.82;361.6;2021-09-22;YouTube;116;19577;124;210618;8889;0.0185;0.0407
Leads Potenciales;25-34;España;Tablet;Masculino;Búsqueda;Black Friday;2238.45;Formulario;Suscripción Newsletter;1157.69;481.65;2021-01-21;YouTube;107;20599;82;181170;11155;0.0234;0.0432
Clientes Frecuentes;25-34;Argentina;Tablet;Masculino;Display;Black Friday;2140.53;Formulario;Descarga App;1039.65;362.3;2021-09-28;Facebook;153;32097;92;139930;12885;0.0113;0.0281
Leads Potenciales;35-44;Colombia;Tablet;Otro;Display;Black Friday;1619.61;Registro;Descarga App;1101.97;636.66;2021-06-15;Instagram;106;22844;119;367700;7661;0.0279;0.0831
Clientes Frecuentes;35-44;Argentina;Móvil;Femenino;Video;Promo Verano;2421.11;Descarga;Suscripción Newsletter;779.67;620.69;2021-12-21;Facebook;100;32668;44;364193;12143;0.019;0.0511
Leads Potenciales;45-54;México;Tablet;Femenino;Búsqueda;Promo Verano;1821.74;Registro;Suscripción Newsletter;1199.35;612.94;2021-05-09;Facebook;113;23711;88;226544;10105;0.0259;0.0607
Segmento Interesados;45-54;Argentina;Tablet;Otro;Display;Black Friday;1796.32;Compra;Descarga App;991.54;374.53;2021-03-12;YouTube;132;26814;50;357454;9027;0.014;0.0415
Clientes Frecuentes;18-24;Colombia;Tablet;Otro;Video;Nuevos Clientes;1968.94;Registro;Formulario Contacto;1110.77;607.41;2021-04-02;Facebook;69;22838;110;272085;8365;0.0266;0.0726
Campaña de Remarketing;18-24;España;Móvil;Otro;Búsqueda;Nuevos Clientes;2235.17;Registro;Compra Online;1277.41;339.8;2021-07-18;Facebook;144;20718;113;389559;7701;0.0164;0.0441
Clientes Frecuentes;35-44;Colombia;Ordenador;Femenino;Video;Black Friday;1949.11;Compra;Compra Online;850.12;570.49;2021-02-06;YouTube;137;33144;101;203456;8236;0.0172;0.0693
Clientes Frecuentes;35-44;Argentina;Móvil;Masculino;Video;Black Friday;1792.58;Formulario;Compra Online;1068.77;363.31;2021-05-14;Google;92;27087;53;173775;10573;0.0134;0.0344
Leads Potenciales;35-44;México;Móvil;Masculino;Social;Nuevos Clientes;1862.12;Formulario;Suscripción Newsletter;928.28;375.97;2021-08-17;Instagram;133;26892;50;270186;7691;0.014;0.0489
Clientes Frecuentes;18-24;España;Móvil;Otro;Social;Black Friday;1350.76;Registro;Formulario Contacto;866.53;325.53;2021-08-27;Instagram;108;34269;119;354363;13275;0.0095;0.0245
Campaña de Remarketing;45-54;Colombia;Móvil;Otro;Social;Reactivación;1416.54;Registro;Suscripción Newsletter;650.58;471.01;2021-04-19;YouTube;127;29592;50;304865;10570;0.0159;0.0446
Leads Potenciales;18-24;Colombia;Móvil;Otro;Búsqueda;Reactivación;1665.42;Formulario;Formulario Contacto;801.78;408.41;2021-07-08;Google;99;33051;74;238763;8761;0.0124;0.0466
Campaña de Remarketing;45-54;México;Móvil;Femenino;Video;Promo Verano;2178.91;Compra;Suscripción Newsletter;697.58;517.72;2021-04-14;Google;103;35636;95;363197;6961;0.0145;0.0744
Clientes Frecuentes;25-34;España;Tablet;Otro;Display;Promo Verano;2573.09;Compra;Suscripción Newsletter;1222.45;563;2021-08-27;Instagram;100;32352;87;375404;12891;0.0174;0.0437
Campaña de Remarketing;35-44;España;Tablet;Otro;Video;Promo Verano;2520.34;Descarga;Compra Online;701.59;488.92;2021-02-28;Facebook;147;29617;67;225775;6667;0.0165;0.0733
Clientes Frecuentes;25-34;Colombia;Tablet;Masculino;Social;Promo Verano;1569.41;Descarga;Descarga App;1189.68;511.05;2021-04-04;Facebook;101;34610;127;316071;13697;0.0148;0.0373
Leads Potenciales;25-34;España;Móvil;Otro;Social;Reactivación;2404.3;Formulario;Descarga App;1289.36;614.56;2021-05-28;YouTube;127;26386;82;330389;9173;0.0233;0.067
Segmento Interesados;35-44;España;Móvil;Masculino;Display;Reactivación;2418.33;Descarga;Formulario Contacto;1231.11;404.09;2021-01-13;Facebook;123;25740;60;375675;13902;0.0157;0.0291
Segmento Interesados;35-44;Colombia;Ordenador;Masculino;Video;Promo Verano;1959.15;Formulario;Suscripción Newsletter;1036.92;360.25;2021-03-11;Facebook;67;23786;57;157938;15330;0.0151;0.0235
Clientes Frecuentes;35-44;México;Ordenador;Femenino;Display;Black Friday;1360.17;Descarga;Descarga App;1079.69;488.9;2021-11-17;Google;152;32770;121;133788;6501;0.0149;0.0752
Clientes Frecuentes;18-24;Argentina;Ordenador;Otro;Video;Black Friday;1915.43;Compra;Compra Online;664.15;397.86;2021-05-25;YouTube;107;33758;82;377439;11177;0.0118;0.0356
Leads Potenciales;45-54;Argentina;Móvil;Femenino;Display;Nuevos Clientes;1444.32;Compra;Suscripción Newsletter;1285.77;470.57;2021-09-15;Google;78;32501;55;375246;12992;0.0145;0.0362
Leads Potenciales;18-24;Argentina;Móvil;Masculino;Social;Black Friday;2137.64;Descarga;Formulario Contacto;1298.04;330.13;2021-12-07;Instagram;99;29380;47;346332;13586;0.0112;0.0243
Leads Potenciales;18-24;Argentina;Ordenador;Otro;Social;Black Friday;2477.89;Registro;Descarga App;1286.62;409.97;2021-06-28;Instagram;92;29329;107;148927;8749;0.014;0.0469
Leads Potenciales;18-24;Argentina;Tablet;Masculino;Social;Nuevos Clientes;1357.41;Compra;Formulario Contacto;1280.77;473.38;2021-09-25;Facebook;147;34848;85;141978;14745;0.0136;0.0321
Leads Potenciales;35-44;España;Ordenador;Femenino;Video;Black Friday;1785.31;Registro;Compra Online;773.49;553.19;2021-12-10;YouTube;77;28349;66;190962;13066;0.0195;0.0423
Campaña de Remarketing;18-24;México;Móvil;Masculino;Búsqueda;Promo Verano;1906.78;Registro;Suscripción Newsletter;782.83;647.01;2021-06-21;YouTube;65;27869;69;245237;14663;0.0232;0.0441
Segmento Interesados;25-34;México;Tablet;Femenino;Social;Black Friday;2231.58;Descarga;Formulario Contacto;703.57;418.14;2021-12-10;Google;68;27132;120;234367;9597;0.0154;0.0436
Segmento Interesados;45-54;España;Móvil;Masculino;Video;Black Friday;1620.43;Descarga;Suscripción Newsletter;1111.73;338.96;2021-09-04;YouTube;66;33670;51;195540;12350;0.0101;0.0274
Campaña de Remarketing;35-44;Colombia;Tablet;Femenino;Búsqueda;Reactivación;1685.85;Descarga;Descarga App;1243.79;578.05;2021-11-07;YouTube;124;30566;90;182856;9171;0.0189;0.063
Segmento Interesados;25-34;Colombia;Tablet;Masculino;Social;Nuevos Clientes;1561.74;Registro;Formulario Contacto;1260.86;401.51;2021-12-23;YouTube;131;21886;106;348375;9284;0.0183;0.0432
Leads Potenciales;18-24;Argentina;Móvil;Femenino;Video;Black Friday;2549.7;Registro;Suscripción Newsletter;1025.91;371.74;2021-10-08;Google;75;35941;112;179094;10269;0.0103;0.0362
Clientes Frecuentes;35-44;México;Móvil;Otro;Video;Nuevos Clientes;2510.71;Descarga;Suscripción Newsletter;699.37;612.08;2021-10-11;Instagram;123;31052;39;369957;14539;0.0197;0.0421
Leads Potenciales;35-44;Argentina;Ordenador;Otro;Video;Reactivación;2224.09;Formulario;Suscripción Newsletter;697.4;537.24;2021-12-10;YouTube;140;22474;125;271453;7436;0.0239;0.0722
Campaña de Remarketing;25-34;México;Móvil;Femenino;Búsqueda;Nuevos Clientes;1694.29;Descarga;Compra Online;892.32;603.64;2021-06-16;Instagram;67;29310;75;186188;11222;0.0206;0.0538
Leads Potenciales;45-54;Colombia;Móvil;Femenino;Búsqueda;Black Friday;2226.98;Registro;Formulario Contacto;964.33;448.08;2021-11-19;Instagram;143;25058;77;304496;9428;0.0179;0.0475
Clientes Frecuentes;18-24;España;Ordenador;Femenino;Display;Reactivación;2427.83;Formulario;Formulario Contacto;1063.9;402.4;2021-01-20;YouTube;112;25591;122;219806;13475;0.0157;0.0299
Campaña de Remarketing;18-24;Argentina;Ordenador;Masculino;Video;Promo Verano;1507.72;Compra;Compra Online;1254.66;331.07;2021-04-27;Facebook;68;28702;39;270658;9475;0.0115;0.0349
Leads Potenciales;25-34;España;Móvil;Otro;Video;Reactivación;2394.92;Registro;Formulario Contacto;1239.35;598.77;2021-10-14;Facebook;146;25701;46;294883;12982;0.0233;0.0461
Clientes Frecuentes;45-54;México;Ordenador;Otro;Social;Reactivación;1824.55;Descarga;Descarga App;1259.17;539.95;2021-09-19;YouTube;128;36044;97;383412;13446;0.015;0.0402
Clientes Frecuentes;35-44;México;Tablet;Masculino;Display;Black Friday;1535.31;Formulario;Descarga App;677.73;473.83;2021-05-26;YouTube;78;25376;104;171603;14188;0.0187;0.0334
Leads Potenciales;35-44;México;Móvil;Otro;Búsqueda;Reactivación;2150.51;Descarga;Suscripción Newsletter;785.2;577.77;2021-08-28;Google;98;26563;95;206811;8084;0.0218;0.0715
Leads Potenciales;45-54;Colombia;Ordenador;Otro;Video;Promo Verano;1615.7;Registro;Formulario Contacto;1127.72;478.39;2021-03-02;Google;90;20834;100;212335;13302;0.023;0.036
Segmento Interesados;45-54;Argentina;Tablet;Femenino;Social;Black Friday;1576.66;Formulario;Descarga App;954.43;499.82;2021-08-22;YouTube;151;35509;63;134448;8656;0.0141;0.0577
Clientes Frecuentes;35-44;Argentina;Móvil;Otro;Display;Nuevos Clientes;2264.25;Registro;Suscripción Newsletter;971.72;424.49;2021-07-06;Facebook;118;27698;80;350483;10678;0.0153;0.0398
Campaña de Remarketing;18-24;España;Móvil;Otro;Social;Reactivación;1778.62;Formulario;Compra Online;1095.31;539.46;2021-03-01;YouTube;147;21706;74;297877;13922;0.0249;0.0387
Clientes Frecuentes;45-54;Colombia;Tablet;Femenino;Social;Reactivación;1511.66;Compra;Descarga App;805.05;486.18;2021-08-08;Facebook;144;37487;78;132855;14958;0.013;0.0325
Campaña de Remarketing;25-34;México;Ordenador;Masculino;Video;Reactivación;1451.09;Registro;Suscripción Newsletter;751.3;502.94;2021-08-13;YouTube;71;22317;40;196046;11839;0.0225;0.0425
Segmento Interesados;25-34;México;Tablet;Masculino;Video;Reactivación;1910.14;Compra;Suscripción Newsletter;1257.2;631.99;2021-03-05;YouTube;136;32312;83;218376;11849;0.0196;0.0533
Segmento Interesados;35-44;Colombia;Ordenador;Otro;Video;Nuevos Clientes;2268.15;Formulario;Descarga App;669.22;403.86;2021-09-05;Facebook;109;31165;116;191519;7925;0.013;0.051
Leads Potenciales;18-24;España;Ordenador;Masculino;Video;Black Friday;1513.6;Formulario;Compra Online;751.79;616.91;2021-01-04;YouTube;152;19757;87;330952;11308;0.0312;0.0546
Segmento Interesados;25-34;Argentina;Ordenador;Masculino;Social;Promo Verano;2198.36;Compra;Suscripción Newsletter;793.09;344.72;2021-01-16;Facebook;94;23088;64;236873;7007;0.0149;0.0492
Campaña de Remarketing;25-34;Argentina;Tablet;Otro;Display;Reactivación;2477.91;Compra;Compra Online;989.25;486.19;2021-09-03;Facebook;113;32001;117;381476;14070;0.0152;0.0346
Leads Potenciales;35-44;México;Tablet;Femenino;Social;Reactivación;2148.18;Formulario;Formulario Contacto;1078.81;430.67;2021-05-26;Facebook;130;29645;43;170302;6765;0.0145;0.0637
Segmento Interesados;45-54;Colombia;Tablet;Otro;Búsqueda;Reactivación;1406.66;Compra;Formulario Contacto;1153.36;637.96;2021-05-08;Facebook;93;22044;81;146423;14906;0.0289;0.0428
Clientes Frecuentes;45-54;España;Móvil;Otro;Social;Nuevos Clientes;2333.78;Formulario;Compra Online;1071.89;542.14;2021-06-15;Facebook;133;38912;67;204893;14394;0.0139;0.0377
Leads Potenciales;35-44;Argentina;Tablet;Masculino;Display;Promo Verano;1949.1;Compra;Compra Online;936.82;601.34;2021-04-07;Google;105;26560;58;347259;10727;0.0226;0.0561
Leads Potenciales;25-34;Colombia;Móvil;Otro;Video;Nuevos Clientes;1374.09;Compra;Formulario Contacto;911.88;560.05;2021-08-18;YouTube;68;23900;103;281783;14703;0.0234;0.0381
Campaña de Remarketing;25-34;Colombia;Tablet;Otro;Búsqueda;Promo Verano;2356.63;Descarga;Formulario Contacto;926.08;601.8;2021-11-13;Google;122;28084;98;163343;9420;0.0214;0.0639
Leads Potenciales;18-24;México;Tablet;Masculino;Display;Reactivación;1398.58;Compra;Compra Online;999.25;336.49;2021-11-21;YouTube;65;22432;79;377874;10778;0.015;0.0312
Clientes Frecuentes;25-34;México;Móvil;Femenino;Display;Nuevos Clientes;2410.94;Formulario;Compra Online;1291.37;380.37;2021-07-16;Facebook;84;26118;66;305559;6812;0.0146;0.0558
Leads Potenciales;25-34;Colombia;Móvil;Otro;Búsqueda;Reactivación;2138.45;Descarga;Suscripción Newsletter;1277.93;622.33;2021-10-04;Google;67;29417;98;372332;10264;0.0212;0.0606
Segmento Interesados;25-34;España;Tablet;Otro;Búsqueda;Reactivación;1323.84;Compra;Suscripción Newsletter;1265.19;487.91;2021-02-21;Instagram;93;20287;52;249149;11125;0.0241;0.0439
Campaña de Remarketing;25-34;Colombia;Ordenador;Masculino;Búsqueda;Nuevos Clientes;1612.27;Descarga;Descarga App;992.5;327.93;2021-08-07;Facebook;124;33900;80;207617;10278;0.0097;0.0319
Clientes Frecuentes;18-24;España;Tablet;Otro;Social;Nuevos Clientes;2496.08;Descarga;Compra Online;1098.51;423;2021-01-11;YouTube;84;32416;49;222052;15169;0.013;0.0279
Campaña de Remarketing;18-24;Colombia;Ordenador;Masculino;Video;Promo Verano;2298.75;Registro;Suscripción Newsletter;1086.02;334.45;2021-11-03;YouTube;85;28660;43;312305;14832;0.0117;0.0225
Segmento Interesados;45-54;Colombia;Ordenador;Femenino;Display;Black Friday;1411.53;Registro;Compra Online;960.65;542.61;2021-01-07;Instagram;151;24075;95;317921;12320;0.0225;0.044
